id,name
0,Romania
1,Mongolia
2,Uruguay
3,Poland
4,Colombia
5,Saudi Arabia
6,Israel
7,Isle of Man
8,Turkmenistan
9,Ireland
10,Canada
11,South Africa
12,France
13,Singapore
14,Mexico
15,Philippines
16,Taiwan
17,Latvia
18,Zimbabwe
19,Luxembourg
20,Sri Lanka
21,Estonia
22,Tajikistan
23,Uzbekistan
24,Croatia
25,Panama
26,Laos
27,Dominican Republic
28,Kazakhstan
29,Bahamas
30,Russia
31,Thailand
32,Venezuela
33,Oman
34,Iceland
35,Pakistan
36,Bulgaria
37,Morocco
38,Indonesia
39,Costa Rica
40,Japan
41,Nepal
42,Armenia
43,Qatar
44,UK
45,South Korea
46,Norway
47,Azerbaijan
48,Slovenia
49,Slovakia
50,Jordan
51,El Salvador
52,Italy
53,Portugal
54,Tunisia
55,USA
56,Czech Republic
57,Kenya
58,Cambodia
59,Nigeria
60,Moldova
61,Togo
62,Turkey
63,Ukraine
64,Kyrgyzstan
65,Australia
66,Ecuador
67,Cyprus
68,Finland
69,Spain
70,Belgium
71,Chile
72,Guatemala
73,Netherlands
74,Hungary
75,Bolivia
76,Albania
77,Georgia
78,Malaysia
79,Lithuania
80,Egypt
81,Belarus
82,Argentina
83,Sweden
84,Hong Kong
85,UAE
86,Germany
87,Algeria
88,Austria
89,India
90,Bangladesh
91,Brazil
92,Serbia
93,Peru
94,New Zealand
95,Switzerland
96,Jamaica
97,Vietnam
98,Denmark
99,Greece
